exp_begin,model_id,epoch,train_loss,train_acc,train_time,valid_loss,valid_acc,valid_time,test_loss,test_acc,test_time,exp_name,act,skip,bn_layer,bn_act,sched,num_epoch,seed,lr,optim,stat_file,model_file
00:55:11,2,8,1.8353004271112134,62.79571611253197,46.31608819961548,1.7981697199450937,66.50079617834395,3.729229688644409,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,9,1.8266201389720067,63.49504475703325,45.85690212249756,1.7910027367294215,67.25716560509554,3.682184934616089,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,10,1.8191879362706334,64.27229859335038,45.98272156715393,1.7959505676463912,66.52070063694268,3.690782070159912,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,11,1.8070944805279412,65.65696930946291,45.59721851348877,1.7911487863321973,67.0282643312102,3.5603582859039307,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,12,1.8019878374950966,66.07257033248082,45.57265615463257,1.7698141647751924,69.27746815286625,3.7035861015319824,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,13,1.792925361019876,66.90577046035806,45.430453062057495,1.8350803168715946,62.708996815286625,3.6510205268859863,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,14,1.7878296946930459,67.4792199488491,45.39626741409302,1.7560494599069,70.4717356687898,3.7087655067443848,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
00:55:11,2,15,1.7812850161281693,68.10062340153452,45.693687438964844,1.8080274215929069,65.23686305732484,3.597066879272461,1.9376820661127567,52.1484375,0.8041298389434814,exp4-optim,silu,2,all,before,const,15,3456,0.1,sgd,output/exp4-optim_model-2_stat.csv,output/exp4-optim_model-2_model.pt
01:07:32,3,1,2.318398160397854,14.254315856777493,48.05589437484741,2.317379234702724,14.371019108280255,3.6908719539642334,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,2,2.330063694273419,13.101422634271099,48.026418924331665,2.3276654914685877,13.34593949044586,3.606088161468506,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,3,2.3380115263907197,12.314178388746804,47.61639738082886,2.3257000810781103,13.54498407643312,3.669588088989258,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,4,2.336999885261516,12.414082480818415,47.763787031173706,2.317098448990257,14.400875796178344,3.7098472118377686,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,5,2.337505239659868,12.36413043478261,47.827186584472656,2.324399682366924,13.674363057324841,3.6935832500457764,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,6,2.342856529728531,11.82664641943734,47.83704233169556,2.3565493844876624,10.459792993630574,3.745823860168457,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,7,2.343461071743685,11.766703964194374,47.858906984329224,2.315161099099809,14.599920382165605,3.6651291847229004,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,8,2.326554509989746,13.459079283887467,47.528278827667236,2.332467625854881,12.868232484076433,3.6303906440734863,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,9,2.332412476734737,12.873641304347826,47.718069553375244,2.3253028362419954,13.584792993630574,3.739375352859497,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,10,2.3261169905552777,13.503037084398978,48.07796239852905,2.3216864607136722,13.943073248407643,3.767014980316162,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,11,2.3254792934183572,13.566975703324808,47.772106885910034,2.324107789689568,13.70421974522293,3.5992541313171387,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,12,2.326910993022382,13.423113810741688,47.66358041763306,2.3247030145803076,13.644506369426752,3.5811352729797363,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,13,2.328175007534759,13.297234654731458,47.23910355567932,2.3142338315392754,14.689490445859873,3.5045857429504395,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,14,2.3212399860782087,13.99056905370844,47.321404695510864,2.31256047327807,14.858678343949045,3.6821858882904053,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
01:07:32,3,15,2.324719473833928,13.642902813299234,47.687254190444946,2.320017527622782,14.112261146496815,3.6386685371398926,2.333221174776554,12.79296875,0.8168232440948486,exp4-optim,silu,2,all,before,const,15,3456,0.1,adam,output/exp4-optim_model-3_stat.csv,output/exp4-optim_model-3_model.pt
